PropertyName,PropertySubName,NearbyLocations,LocationAdvantages,Link,PriceDetails,TopFacilities
Lodha Bellissimo,"2, 3 BHK Apartment in Worli, Mumbai","['Worli Sea Face', 'Haji Ali Dargah', 'PD Hinduja Hospital', 'Worli Naka', 'Nehru Planetarium']","{'Sea Face': '500 m', 'Haji Ali': '2 km', 'Bandra-Worli Sea Link': '1.5 km', 'Chhatrapati Shivaji Maharaj International Airport': '12 km', 'CSMT Railway Station': '8 km'}",https://www.99acres.com/lodha-bellissimo-worli-mumbai,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,250 sq.ft.', 'price-range': '₹ 8 - 9.5 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,850 sq.ft.', 'price-range': '₹ 12 - 14 Cr'}}","['Swimming Pool', 'Club House', 'Gymnasium', 'Landscaped Gardens', '24x7 Security', 'Indoor Games', 'Jogging Track', ""Children's Play Area"", 'Party Hall']"
Oberoi Sky City,"3, 4 BHK Apartment in Worli, Mumbai","['Worli Sea Face', 'Nehru Science Centre', 'Worli Fishing Village', 'Five Gardens', 'KEM Hospital']","{'Worli Sea Face': '800 m', 'Bandra-Worli Sea Link': '2 km', 'Mumbai Airport': '14 km', 'Prabhadevi Station': '3 km', 'Mahalaxmi Station': '2 km'}",https://www.99acres.com/oberoi-sky-city-worli,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,100 sq.ft.', 'price-range': '₹ 14 - 16 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,850 sq.ft.', 'price-range': '₹ 19 - 22 Cr'}}","['Infinity Pool', 'Concierge Service', 'Private Theatre', 'Sky Lounge', 'Spa', 'Business Center', 'Yoga Studio', 'Kids Play Zone', 'Tennis Court']"
Godrej Platinum,"2, 3 BHK Apartment in Vikhroli, Mumbai","['Godrej Industries', 'IIT Bombay', 'Hiranandani Hospital', 'Kanjurmarg Station', 'Eastern Express Highway']","{'IIT Bombay': '3 km', 'Eastern Express Highway': '500 m', 'Powai Lake': '4 km', 'Mumbai Airport': '8 km', 'Kanjurmarg Station': '2 km'}",https://www.99acres.com/godrej-platinum-vikhroli,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,150 sq.ft.', 'price-range': '₹ 4.2 - 5 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,650 sq.ft.', 'price-range': '₹ 5.8 - 6.5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Jogging Track', 'Indoor Games', 'Amphitheatre', 'Badminton Court', '24x7 Security', 'Rain Water Harvesting']"
Hiranandani Gardens,"2, 3, 4 BHK Apartment in Powai, Mumbai","['Powai Lake', 'IIT Bombay', 'Hiranandani Hospital', 'R City Mall', 'Eastern Express Highway']","{'Powai Lake': '500 m', 'IIT Bombay': '2 km', 'Mumbai Airport': '7 km', 'Eastern Express Highway': '1 km', 'Metro Station': '800 m'}",https://www.99acres.com/hiranandani-gardens-powai,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,350 sq.ft.', 'price-range': '₹ 5.5 - 6.5 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,850 sq.ft.', 'price-range': '₹ 7.5 - 8.5 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,450 sq.ft.', 'price-range': '₹ 10 - 12 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gymnasium', 'Club House', 'Basketball Court', 'Jogging Track', 'Skating Rink', 'Party Lawn']"
Raheja Vivarea,"1, 2 BHK Apartment in Santacruz East, Mumbai","['Mumbai Airport', 'Bandra Kurla Complex', 'Mithi River', 'Kings Circle', 'Kurla Station']","{'Mumbai Airport': '3 km', 'BKC': '4 km', 'Santacruz Station': '2 km', 'Western Express Highway': '1 km', 'Metro Station': '1.5 km'}",https://www.99acres.com/raheja-vivarea-santacruz,"{'1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '650 sq.ft.', 'price-range': '₹ 2.8 - 3.2 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '950 sq.ft.', 'price-range': '₹ 3.8 - 4.2 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', '24x7 Security', 'Rain Water Harvesting', 'Power Backup', 'Car Parking', 'Landscaped Garden']"
Kalpataru Estate,"3, 4 BHK Apartment in Thane West, Mumbai","['Upvan Lake', 'Talao Pali', 'Korum Mall', 'Cadbury Junction', 'Eastern Express Highway']","{'Upvan Lake': '2 km', 'Korum Mall': '3 km', 'Thane Station': '5 km', 'Eastern Express Highway': '4 km', 'Mumbai-Pune Expressway': '6 km'}",https://www.99acres.com/kalpataru-estate-thane,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,450 sq.ft.', 'price-range': '₹ 3.2 - 3.8 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,850 sq.ft.', 'price-range': '₹ 4.2 - 4.8 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Tennis Court', 'Squash Court', 'Indoor Games', 'Jogging Track', 'Amphitheatre', 'Party Hall']"
Piramal Aranya,"2, 3, 4 BHK Apartment in Byculla, Mumbai","['Byculla Zoo', 'Mumbai Central', 'Wadia Hospital', 'Phoenix Marketcity', 'Mohammed Ali Road']","{'Byculla Zoo': '1 km', 'Mumbai Central': '2 km', 'Phoenix Marketcity': '3 km', 'CSMT Station': '4 km', 'Eastern Freeway': '2 km'}",https://www.99acres.com/piramal-aranya-byculla,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,100 sq.ft.', 'price-range': '₹ 6.5 - 7.5 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,650 sq.ft.', 'price-range': '₹ 9 - 10.5 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,200 sq.ft.', 'price-range': '₹ 12 - 14 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Landscaped Gardens', 'Yoga Pavilion', 'Children's Play Area', 'Party Lawn', '24x7 Security', 'Rain Water Harvesting']"
Wadhwa Group - Sixty Nine,"Studio, 1, 2 BHK Apartment in Vikhroli, Mumbai","['Godrej Industries', 'IIT Bombay', 'Hiranandani Hospital', 'Kanjurmarg Station', 'Eastern Express Highway']","{'IIT Bombay': '3 km', 'Eastern Express Highway': '500 m', 'Powai Lake': '4 km', 'Mumbai Airport': '8 km', 'Kanjurmarg Station': '2 km'}",https://www.99acres.com/wadhwa-sixty-nine,"{'Studio': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '450 sq.ft.', 'price-range': '₹ 2.2 - 2.5 Cr'}, '1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '650 sq.ft.', 'price-range': '₹ 3 - 3.5 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '950 sq.ft.', 'price-range': '₹ 4.2 - 4.8 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking', 'Landscaped Garden']"
Rustomjee Urbania,"2, 3 BHK Apartment in Andheri East, Mumbai","['Mumbai Airport', 'Bandra Kurla Complex', 'WEH', 'Chakala', 'Andheri Station']","{'Mumbai Airport': '2 km', 'BKC': '5 km', 'Andheri Station': '3 km', 'Western Express Highway': '1 km', 'Metro Station': '800 m'}",https://www.99acres.com/rustomjee-urbania-andheri,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,050 sq.ft.', 'price-range': '₹ 4.5 - 5.2 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,450 sq.ft.', 'price-range': '₹ 6.2 - 7 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Indoor Games', 'Jogging Track', 'Children's Play Area', '24x7 Security', 'Rain Water Harvesting', 'Car Parking']"
Lodha Park,"3, 4, 5 BHK Apartment in Wadala, Mumbai","['Wadala TT', 'Five Gardens', 'Sion Fort', 'Shivaji Park', 'Eastern Freeway']","{'Wadala TT': '1 km', 'Eastern Freeway': '500 m', 'Sion': '3 km', 'Mumbai Port': '4 km', 'Metro Station': '800 m'}",https://www.99acres.com/lodha-park-wadala,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,850 sq.ft.', 'price-range': '₹ 8 - 9.5 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,450 sq.ft.', 'price-range': '₹ 10.5 - 12.5 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,150 sq.ft.', 'price-range': '₹ 13.5 - 16 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gym', 'Club House', 'Yoga Studio', 'Children's Play Area', 'Party Lawn', '24x7 Security']"
